YearRemodAdd,YearBuilt,1stFlrSF,TotalBsmtSF,GarageArea,GarageCars,GrLivArea,OverallQual,Neighborhood,ExterQual,BsmtQual,KitchenQual,GarageFinish,FullBath,GarageType,MSSubClass,Foundation,FireplaceQu,Fireplaces,TotRmsAbvGrd,HeatingQC,SalePrice
2003,2003,856,856,548,2,1710,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,,0,8,Ex,208500
1976,1976,1262,1262,460,2,1262,6,Veenker,TA,Gd,TA,RFn,2,Attchd,20,CBlock,TA,1,6,Ex,181500
2002,2001,920,920,608,2,1786,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,TA,1,6,Ex,223500
1970,1915,961,756,642,3,1717,7,Crawfor,TA,TA,Gd,Unf,1,Detchd,70,BrkTil,Gd,1,7,Gd,140000
2000,2000,1145,1145,836,3,2198,8,NoRidge,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,TA,1,9,Ex,250000
1995,1993,796,796,480,2,1362,5,Mitchel,TA,Gd,TA,Unf,1,Attchd,50,Wood,,0,5,Ex,143000
2005,2004,1694,1686,636,2,1694,8,Somerst,Gd,Ex,Gd,RFn,2,Attchd,20,PConc,Gd,1,7,Ex,307000
1973,1973,1107,1107,484,2,2090,7,NWAmes,TA,Gd,TA,RFn,2,Attchd,60,CBlock,TA,2,7,Ex,200000
1950,1931,1022,952,468,2,1774,7,OldTown,TA,TA,TA,Unf,2,Detchd,50,BrkTil,TA,2,8,Gd,129900
1950,1939,1077,991,205,1,1077,5,BrkSide,TA,TA,TA,RFn,1,Attchd,190,BrkTil,TA,2,5,Ex,118000
1965,1965,1040,1040,384,1,1040,5,Sawyer,TA,TA,TA,Unf,1,Detchd,20,CBlock,,0,5,Ex,129500
2006,2005,1182,1175,736,3,2324,9,NridgHt,Ex,Ex,Ex,Fin,3,BuiltIn,60,PConc,Gd,2,11,Ex,345000
1962,1962,912,912,352,1,912,5,Sawyer,TA,TA,TA,Unf,1,Detchd,20,CBlock,,0,4,TA,144000
2007,2006,1494,1494,840,3,1494,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,Gd,1,7,Ex,279500
1960,1960,1253,1253,352,1,1253,6,NAmes,TA,TA,TA,RFn,1,Attchd,20,CBlock,Fa,1,5,TA,157000
2001,1929,854,832,576,2,854,7,BrkSide,TA,TA,TA,Unf,1,Detchd,45,BrkTil,,0,5,Ex,132000
1970,1970,1004,1004,480,2,1004,6,NAmes,TA,TA,TA,Fin,1,Attchd,20,CBlock,TA,1,5,Ex,149000
1967,1967,1296,0,516,2,1296,4,Sawyer,TA,,TA,Unf,2,CarPort,90,Slab,,0,6,TA,90000
2004,2004,1114,1114,576,2,1114,5,SawyerW,TA,TA,Gd,Unf,1,Detchd,20,PConc,,0,6,Ex,159000
1965,1958,1339,1029,294,1,1339,5,NAmes,TA,TA,TA,Unf,1,Attchd,20,CBlock,,0,6,TA,139000
2006,2005,1158,1158,853,3,2376,8,NridgHt,Gd,Ex,Gd,RFn,3,BuiltIn,60,PConc,Gd,1,9,Ex,325300
1950,1930,1108,637,280,1,1108,7,IDOTRR,TA,TA,Gd,Unf,1,Attchd,45,PConc,Gd,1,6,Ex,139400
2002,2002,1795,1777,534,2,1795,8,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,Gd,1,7,Ex,230000
1976,1976,1060,1040,572,2,1060,5,MeadowV,TA,Gd,TA,Unf,1,Attchd,120,PConc,TA,1,6,TA,129900
2001,1968,1060,1060,270,1,1060,5,Sawyer,TA,TA,Gd,Unf,1,Attchd,20,CBlock,TA,1,6,Ex,154000
2007,2007,1600,1566,890,3,1600,8,NridgHt,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,Gd,1,7,Ex,256300
2000,1951,900,900,576,2,900,5,NAmes,TA,TA,Gd,Unf,1,Detchd,20,CBlock,,0,5,TA,134800
2008,2007,1704,1704,772,3,1704,8,NridgHt,Gd,Ex,Gd,RFn,2,Attchd,20,PConc,Gd,1,7,Ex,306000
1997,1957,1600,1484,319,1,1600,5,NAmes,TA,TA,TA,RFn,1,Attchd,20,CBlock,Gd,2,6,TA,207500
1950,1927,520,520,240,1,520,4,BrkSide,TA,TA,Fa,Unf,1,Detchd,30,BrkTil,,0,4,Fa,68500
1950,1920,649,649,250,1,1317,4,IDOTRR,TA,TA,TA,Unf,1,Detchd,70,BrkTil,,0,6,TA,40000
2006,1966,1228,1228,271,1,1228,5,Sawyer,TA,TA,Gd,Unf,1,Attchd,20,CBlock,,0,6,Gd,149350
2007,2007,1234,1234,484,2,1234,8,CollgCr,Gd,Ex,Gd,RFn,2,Attchd,20,PConc,,0,7,Ex,179900
1959,1959,1700,1398,447,2,1700,5,NAmes,TA,TA,Gd,RFn,1,Attchd,20,CBlock,Gd,1,6,Gd,165500
2005,2005,1561,1561,556,2,1561,9,NridgHt,Ex,Ex,Ex,Fin,2,Attchd,120,PConc,Gd,1,6,Ex,277500
2005,2004,1132,1117,691,3,2452,8,NridgHt,Gd,Ex,Gd,Fin,3,BuiltIn,60,PConc,Gd,1,9,Ex,309000
1995,1994,1097,1097,672,2,1097,5,CollgCr,TA,Gd,TA,Unf,1,Attchd,20,PConc,,0,6,Ex,145000
1990,1954,1297,1297,498,2,1297,5,NAmes,TA,TA,TA,Fin,1,Attchd,20,CBlock,TA,1,5,Gd,153000
2007,1953,1057,1057,246,1,1057,5,NAmes,TA,TA,Gd,Unf,1,Detchd,20,CBlock,,0,5,TA,109000
1955,1955,1152,0,0,0,1152,4,Edwards,TA,,Fa,,2,,90,PConc,,0,6,TA,82000
1965,1965,1324,1088,440,2,1324,6,NAmes,TA,TA,TA,RFn,2,Attchd,20,CBlock,TA,1,6,Ex,160000
1959,1959,1328,1350,308,1,1328,5,Timber,TA,TA,TA,RFn,1,Attchd,20,CBlock,Gd,2,5,Gd,170000
1983,1983,884,840,504,2,884,5,SawyerW,TA,Gd,Gd,RFn,1,Attchd,85,CBlock,,0,5,Gd,144000
1980,1975,938,938,308,1,938,5,CollgCr,TA,Gd,TA,Unf,1,Detchd,20,CBlock,,0,5,TA,130250
1959,1959,1150,1150,300,1,1150,5,NAmes,TA,TA,TA,RFn,1,Attchd,20,CBlock,,0,6,Ex,141000
2005,2005,1752,1752,576,2,1752,9,NridgHt,Ex,Ex,Ex,RFn,2,Attchd,120,PConc,Gd,1,6,Ex,319900
2003,2003,1518,1434,670,2,2149,7,Mitchel,Gd,Ex,Gd,RFn,1,Attchd,50,PConc,Ex,1,6,Ex,239686
2006,2006,1656,1656,826,3,1656,8,Somerst,Gd,Gd,Gd,RFn,2,Attchd,20,PConc,,0,7,Ex,249700
2008,1920,736,736,0,0,1452,4,OldTown,TA,TA,TA,,2,,190,BrkTil,,0,8,Gd,113000
1966,1966,955,955,386,1,955,5,Sawyer,TA,TA,TA,Unf,1,Attchd,20,CBlock,,0,6,Ex,127000
1997,1997,794,794,388,2,1470,6,Gilbert,TA,Gd,TA,Fin,2,Attchd,60,PConc,,0,6,Gd,177000
1950,1934,816,816,528,2,1176,6,BrkSide,TA,TA,TA,Unf,1,Detchd,50,PConc,Gd,1,6,TA,114500
1963,1963,816,816,516,2,816,5,IDOTRR,Fa,Gd,TA,Unf,1,CarPort,90,CBlock,,0,5,TA,110000
1987,1981,1842,1842,894,3,1842,9,Veenker,Gd,Ex,Gd,Fin,0,Attchd,20,CBlock,Gd,1,5,Gd,385000
1955,1955,1360,384,572,2,1360,5,NAmes,TA,TA,TA,Unf,1,Detchd,80,CBlock,TA,1,6,TA,130000
1964,1964,1425,1425,576,2,1425,6,NAmes,TA,TA,TA,RFn,2,Attchd,20,CBlock,Gd,1,7,Gd,180500
2000,1999,983,970,480,2,1739,8,Somerst,Gd,Gd,Gd,Fin,2,Attchd,160,PConc,,0,7,Ex,172500
2004,2004,860,860,565,2,1720,7,CollgCr,Gd,Gd,Gd,RFn,2,Attchd,60,PConc,,0,7,Ex,196500
2006,2006,1426,1410,641,3,2945,10,StoneBr,Ex,Ex,Gd,Fin,3,BuiltIn,60,PConc,Gd,1,10,Ex,438780
1972,1972,780,780,352,1,780,5,CollgCr,TA,TA,TA,Unf,1,Detchd,20,CBlock,,0,4,Ex,124900
2004,2004,1158,1158,576,2,1158,6,SawyerW,TA,Gd,Gd,Unf,1,Detchd,20,PConc,,0,5,Ex,158000
1996,1920,581,530,288,1,1111,5,IDOTRR,TA,TA,Fa,Unf,1,Detchd,75,BrkTil,,0,6,TA,101000
